aircraft_type,constraint_level,constraint_name,algorithm,avg_gap,std_gap,avg_time,std_time,avg_memory,std_memory,feasible_rate,n_tests
A320,1,Cargo Only,CP,5.019072305077288,0.0,0.0024704933166503906,0.0,0.008129119873046875,0.0,0.0,1
A320,1,Cargo Only,ABC,0.03505584171859606,0.0,4.061751365661621,0.0,0.009551048278808594,0.0,0.0,1
A320,1,Cargo Only,MILP,5.019072305077288,0.0,0.006608247756958008,0.0,0.0160064697265625,0.0,0.0,1
A320,2,Cargo + Hold,GA,0.03765703994133256,0.0,7.479322671890259,0.0,0.014743804931640625,0.0,0.0,1
A320,2,Cargo + Hold,CS,0.03505584171859606,0.0,6.067756414413452,0.0,0.011295318603515625,0.0,0.0,1
A320,2,Cargo + Hold,PSO,0.03765703994133256,0.0,5.926727056503296,0.0,0.011758804321289062,0.0,0.0,1
A320,2,Cargo + Hold,MBO,0.05078369963202146,0.0,2.2784414291381836,0.0,0.00958251953125,0.0,0.0,1
A320,2,Cargo + Hold,QP,5.094386384959955,0.0,0.007158994674682617,0.0,0.0164794921875,0.0,0.0,1
A320,2,Cargo + Hold,MINLP,5.019072305077288,0.0,0.009240388870239258,0.0,0.01709747314453125,0.0,0.0,1
A320,2,Cargo + Hold,DP,5.019072305077288,0.0,0.0010449886322021484,0.0,0.019725799560546875,0.0,0.0,1
A320,2,Cargo + Hold,ACO,0.06938028417954,0.0,4.592795133590698,0.0,0.010874748229980469,0.0,0.0,1
A320,2,Cargo + Hold,CP,5.019072305077288,0.0,0.002017974853515625,0.0,0.008129119873046875,0.0,0.0,1
A320,2,Cargo + Hold,ABC,0.03505584171859606,0.0,5.363179445266724,0.0,0.010100364685058594,0.0,0.0,1
A320,2,Cargo + Hold,MILP,5.019072305077288,0.0,0.009000539779663086,0.0,0.0160064697265625,0.0,0.0,1
A320,3,Full Constraints,GA,0.03505584171859606,0.0,6.872751712799072,0.0,0.015773773193359375,0.0,0.0,1
A320,3,Full Constraints,CS,0.03505584171859606,0.0,7.08311915397644,0.0,0.011676788330078125,0.0,0.0,1
A320,3,Full Constraints,PSO,0.03505584171859606,0.0,7.448244571685791,0.0,0.012605667114257812,0.0,0.0,1
A320,3,Full Constraints,MBO,0.03505584171859606,0.0,2.8126227855682373,0.0,0.0105743408203125,0.0,0.0,1
A320,3,Full Constraints,QP,5.094386384959955,0.0,0.0062313079833984375,0.0,0.0164794921875,0.0,0.0,1
A320,3,Full Constraints,MINLP,5.019072305077288,0.0,0.00820779800415039,0.0,0.01709747314453125,0.0,0.0,1
A320,3,Full Constraints,DP,5.019072305077288,0.0,0.0020329952239990234,0.0,0.019725799560546875,0.0,0.0,1
A320,3,Full Constraints,ACO,0.06938028417954,0.0,4.367049932479858,0.0,0.010890007019042969,0.0,0.0,1
A320,3,Full Constraints,CP,5.019072305077288,0.0,0.003155231475830078,0.0,0.008129119873046875,0.0,0.0,1
A320,3,Full Constraints,ABC,0.03505584171859606,0.0,6.105002164840698,0.0,0.011107444763183594,0.0,0.0,1
A320,3,Full Constraints,MILP,5.019072305077288,0.0,0.007369041442871094,0.0,0.0160064697265625,0.0,0.0,1
